Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,symmetric,0.01,0.39196078492169584
100% Corpus,8,symmetric,0.31,0.38518250471585025
100% Corpus,8,symmetric,0.61,0.3899628953855745
100% Corpus,8,symmetric,0.9099999999999999,0.395773895221476
100% Corpus,8,symmetric,symmetric,0.394473943529165
100% Corpus,8,asymmetric,0.01,0.3972145020580212
100% Corpus,8,asymmetric,0.31,0.38501578047685237
100% Corpus,8,asymmetric,0.61,0.41251726464112143
100% Corpus,8,asymmetric,0.9099999999999999,0.39842940154338935
100% Corpus,8,asymmetric,symmetric,0.38497716191878284
100% Corpus,10,0.01,0.01,0.37937057604731184
100% Corpus,10,0.01,0.31,0.38521981403908157
100% Corpus,10,0.01,0.61,0.39004931728463116
100% Corpus,10,0.01,0.9099999999999999,0.38755305659774875
100% Corpus,10,0.01,symmetric,0.390121748267143
100% Corpus,10,0.31,0.01,0.3586532575860155
100% Corpus,10,0.31,0.31,0.36778716786624416
100% Corpus,10,0.31,0.61,0.37223891430224726
100% Corpus,10,0.31,0.9099999999999999,0.3757121479793446
100% Corpus,10,0.31,symmetric,0.36055823548266436
100% Corpus,10,0.61,0.01,0.35100756490046
100% Corpus,10,0.61,0.31,0.3590858956539491
100% Corpus,10,0.61,0.61,0.37506535753771697
100% Corpus,10,0.61,0.9099999999999999,0.36738985062692325
100% Corpus,10,0.61,symmetric,0.3502960303531085
100% Corpus,10,0.9099999999999999,0.01,0.3568712420916682
100% Corpus,10,0.9099999999999999,0.31,0.3713327755816075
100% Corpus,10,0.9099999999999999,0.61,0.37065487889754556
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.37166722023705595
100% Corpus,10,0.9099999999999999,symmetric,0.3542732384642924
100% Corpus,10,symmetric,0.01,0.3709895487721927
100% Corpus,10,symmetric,0.31,0.38809587327693806
100% Corpus,10,symmetric,0.61,0.38561059179616375
100% Corpus,10,symmetric,0.9099999999999999,0.383554730397241
100% Corpus,10,symmetric,symmetric,0.377171462112867
100% Corpus,10,asymmetric,0.01,0.3746159402620761
100% Corpus,10,asymmetric,0.31,0.3834849116345931
100% Corpus,10,asymmetric,0.61,0.39402028408928746
100% Corpus,10,asymmetric,0.9099999999999999,0.3819534175035667
100% Corpus,10,asymmetric,symmetric,0.3784541219333666
100% Corpus,12,0.01,0.01,0.37606604649842335
100% Corpus,12,0.01,0.31,0.3843633635136085
100% Corpus,12,0.01,0.61,0.3814327116548617
100% Corpus,12,0.01,0.9099999999999999,0.3736988156706367
100% Corpus,12,0.01,symmetric,0.37512309719130504
100% Corpus,12,0.31,0.01,0.34084614920513384
100% Corpus,12,0.31,0.31,0.3322371879114187
100% Corpus,12,0.31,0.61,0.3511112173580509
100% Corpus,12,0.31,0.9099999999999999,0.3590365952220517
100% Corpus,12,0.31,symmetric,0.34685742307525874
100% Corpus,12,0.61,0.01,0.333023495743185
100% Corpus,12,0.61,0.31,0.35866361315837997
100% Corpus,12,0.61,0.61,0.35669248793673597
100% Corpus,12,0.61,0.9099999999999999,0.36174375108458423
100% Corpus,12,0.61,symmetric,0.34110549597733325
